UTC+12:00, +13 and +14
420.0
UTC−01:00 to UTC+04:00
210.0
60.0
390.0
180.0
240.0
360.0
540.0
300.0
345.0
UTC−6
0.0
330.0
600.0
480.0
120.0
UTC−5
UTC−4
