ΒΧΜ 02054
ΒΧΜ 02056
M&LA 1879.7–14.1
MC 2392
NG725
1981.57
38.64
1977.0
1954.3
Indira Gandhi Rashtriya Manav Sangrahalaya
N01981
GG 1534
1993.32
1993.35
M.I. 926
M2010.49
2000-03-01
ГЭ-4120
RCIN 912771
1942.3
1933.79
1959.01
100102
between 1931 and 1959
1994.12
1994.28
2013.11
2012.44
E 10897
1358
26097
56.228
1978.2
INV 7492
87.15
RCIN 405476
23715
A.3&A-1965
8.228
11616
212.202
32.1
M.Ob.697
P282
78.1
1910.9
Folger Shakespeare Library MS V.b.232
1960.31
circa 1892
1933.1
ГЭ-1288
17.104
SK-A-1247
Latin 8851
1910.1
1991.67
SK-C-2 / SA 7378
Inventory nos 641 and 642
9.72
1981.23
34.138
NPG.74.1
2009.58
9.71
2009.55
597.194
49.24
GG_1605
RCIN 405346
974.343
NG625
1981.35
74.98
8.1977
2009
99.31
2007
1278
2002
RCIN 405551
SK-A-2238
88.5
4560
K.866
991.52
1055
E.1:2-1988
37.537
ГЭ-1150
M.74.31
M.I. 1121
2014
GG_1825
1959.26
67.187
71.41
1996.4
1996.3
87.8
NMW A 3509
A.7-1954
1973.1
58.133
22.207
2021.01
24.197
1195
ART09807
66.126
2008.46
2008.47
15.142
1973.13
P01101
980.9
2007.7
LL 3632
RCIN 400747
June 1930
F1904-61
1974.1
NPG 6804
50.13
NG672
1997.6
6.1282
1942-10-24
1997.17
no. 68.174
2021.28
2018.6
994.222
J-21429（large）
D.2013.1.1
926.18
G2475
before 1914
71.75
1997.21
1961.18
A.4:1 to 6-1960
308
2.7
1938.23
7629
AC1999.18.1
2019.17
96.29
92.103
43.116
WA1980.79
Inv. 8608
GG_951
--06-09
93.153
1975.1
MASP.00020
45.195
G 82.007
40.59
ΓΕ 3007
1983.45
1963.1
201
J-21428（small)
NG15
RCIN 405068
RCIN 407247
17.173
NG13
994.56
1957-05-15
59.166
572
RF 12259
26.97
ACF 1951.01
214
216
MC1120
RCIN 408427
1995.38
2016.8
476.2
NPG 1
E10, EX439, EX512
15.96
76.2553
ΓΕ 3027
222
NG221
50.164
92.126
PE 372
1972.63
PE 371
Santiago Espona Bequest, 1858
NG6458
1939.1
1964.34
LP 16
6.177
2017.24
M0059
10.64
14101
1908
2015.3
1927.4
1987.47
GG 83
2006.27
68.154
2006.23
O 560
1999.26
1902
1900
4.31
8552
ARG 581 Ring I/277_1
2018.28
1917.1
Κ.860
1975.27
NG 120
4.29
1999.36
RF 425
1914
29.1
1912
1911
Br.L.4
ГЭ-107; ИР.-4564
ΒΧΜ 01549
267
L 914
GK215
1807
1926
1998.79
1924
NG 370.1860
F1903.91a-b
PD 1874-8-8-2266
1931
GG_73
1954.29
47.1188
1937
1936
1934
5.33
2009-05-29
43.47
14.141
Free
1943
1942
1941
31.67
--05-14
1982.8
1998.15
1948
no. 90/73
KdZ 2319
ΒΧΜ 01588
(INV) 776
A.1-1976
57.89
R.F. 1934
87.1936
GG_94
179
1950
1972.8
950.198
83.12
12.227
71
73
GG_91
29.86
NGI.84
NM 1431
180
32.11
181
RCIN 407190
1963
1983.4
1961
1960
NMW A 185
SK-A-133
82
1967
15.3
NGA 95.587
26.117
1890.0
1975
1958.0
49.7
26.7
8.183
89.15
RCIN 405776
97
7.149
40333
1969.3
11.116
2011.2
1987
ГЭ-1131
1980.13
1984
1862
1861
1980
AO 19520, AO 19824
1991.29
https://opc-kb.oclc.org/PPN%3FPPN=311778224
1869
1989
14.4
RCIN 405666
SK-A-4100
66.36
Gr. Z. 454
44.535
P.1978.PG.357
1876
1996
1995
1994
1870
SK-C-557
RCIN 404420
1879
1878
NG1078
2014.52
NG6649
1891
1890
1888
1980.35
N01578
RCIN 405768
1884
685.197
24.45
E1924-4-15
NG.M.01060
338.0
SK-A-3137
1889
inv. 50
INV 611
1899
1898
1897
1896
1894
1893
1892
BH 477
1.85606e+07
234031
NG 439
INV 746
Description of the Beyeren Armorial in the catalogue of the KB]
1979.36
RCIN 405746
69.278
2518
NG 2016
MS 408
RF 1974-2
33.164
NG3044
2001.61
69.129
Collection Uli Knecht
234058
RCIN 405951
91.26
1572
2003.18
Gift of Grenville L. Winthrop
11.3
1978.41
19.103
RCIN 401243
