DNK
BRU
ZAM
CUB
GUA
MYA
GDR
GBR2
RSA
GUY
POL
KUW
NCA
POR
KEN
GER
ARG
UZB
SEN
MAR
IRI
IRL
QAT
BDI
TPE
BLR
SVN
THA
PHI
URS
BUL
USSR
SWE
USA
ESP
ISL
EST
BEL
ISR
NED
BER
KOR
RUS
ECU
ITA
ETH
PAK
ALG
UKR
VEN
KGZ
GHA
+91
CHI
CHN
TRI
MTQ
MLI
LBR
AUS
EUN
AUT
58
HKG
GAB
YUG
JOR
CIS
CZE
NOR
RGF
CAN
CIV
ROM
TCH
NGR
ROU
ANG
CAY
GRE
INA
IND
ENG
MEX
SRB
KAZ
JPN
SRI
BHR
TTO
GBR
HUN
BAH
FIN
TUN
UGA
TUR
BRA
BAR
VIE
FRA
EGY
LVA
NIR
JAM
JAP
FRG
LES
PER
