65000
6000
20000
96457
267666
129534
35000
~4800
3000
Responds to over 120,000 emergencies each year
360
75000
1098303
approx 3000
1700
approximately 500/year
50000
45.899
approx. 50,000/yr
Approx. 75,000
Approx. 40,000/yr
~50 000
More than 126,000 calls
