Shuvro
Shortland Street
Roderick Alleyn
The Outer Limits (1963 TV series)
Zuckerman Bound
Sherlock (TV series)
Albert Campion mysteries
Microsoft Flight Simulator
Robin Hood (2006 TV series)
Star Stories
Mortal Kombat
The Godfather
DuPont Show of the Month
Celia y su mundo
Philo Vance novels
Mega Man X
Batman: Arkham
Doctor Who book:
Fletch series
Fear Itself (TV series)
Celia
The Journeyman Project
Star Wars: The Force Unleashed
10
Jack Sawyer Trilogy
Sonic the Hedgehog
Soulcalibur
Buffy the Vampire Slayer
Jim Chee / Joe Leaphorn Navajo Tribal Police Series
List of Doctor Who novelisations
High & Dry
Richard Hannay
Joe Leaphorn/Jim Chee Navajo Tribal Police Series
Saints Row
1
The Cadfael Chronicles
BioShock
2
Neverwinter Nights
Oddworld
3
4
5
6
Tarzan (book series)
7
The Walking Dead
8
I Spy (1965 TV series)
The Extraordinary Voyages #5
Stargate SG-1
Viewtiful Joe
Command & Conquer: Red Alert
Garfield
Cloverfield
Still Open All Hours
Deep Space Nine
Hallmark Hall of Fame
Terminator
King of the Hill
Fallout
Borat
Super Giant (franchise)
Seinfeld
Gonzo Series
X
Rocky and His Friends
Gemma Doyle Trilogy
Rebus (TV series)
Smiley Versus Karla
Cold Feet
1999
Max Payne
Department S, Jason King (TV series)
Macross
Queen of Swords (TV series)
90210
The Professional
Doctor Who
Simon and the Witch
Stargate Atlantis
M*A*S*H (TV series)
The Raven
s Company
Nero Wolfe
King's Quest
The Yogi Bear Show
Dynasty (1981 TV series)
Enterprise
Les Rougon-Macquart
Hannah Montana
Masters of Horror
None
novel
The Extraordinary Voyages #35
I Can Read!
Doctor Who (season 10)
'The XYY Man'
The Kent Family Chronicles
s Island
Nova (American TV program)
Power Rangers
The Bard's Tale
Voyager
James Bond in video games
Producer's Showcase
Drones Club
The Goodies (TV series)
Inspector Morse series, #5
Mike Hammer (character)
Will Lee (novel series)
George Smiley
Insight (American TV series)
Albert Campion
God of War
Dragon's Lair
Dirk Gently (TV series)
'Celia y su mundo'
James Bond
Sally Lockhart series
Ford Startime
L.A. Quartet
Goosebumps
Assassin's Creed
Dirk Pitt Novels
The Series
Virgin Missing Adventures
List of Doctor Who episodes (1963–1989)
Philo Vance
Parasite Eve
''Command & Conquer:
Madden NFL
Final Fantasy
Spider-Man in video games
Spider-Man
The Mouse and the Motorcycle
Hubertus Bigend
Cutting Edge (TV series)
Monkey Island
Goosebumps (TV series)
Climax!
Disgaea
Talley Trilogy
The Next Generation
King Kong (franchise)
The Wonderful World of Disney
The Witcher
Saw
Playhouse 90
Driver
Open All Hours
The Sketch Book
The Prisoner
The X-Files
Highlander (franchise)
[[#Books
Star vs. the Forces of Evil
Wacky Races (1968 TV series)
Ace Ventura (franchise)
Walking the Planks and High & Dry
Aloysius Pendergast
La Comédie humaine
Lupin the Third
Metroid
The Matrix
Les Aventures de Colargol
The Elder Scrolls
Alfred Hitchcock Presents
Simon Templar
Joseph Rouletabille
Sanctuary (TV series)
Virgin New Adventures
Sherlock Holmes
Baldur's Gate
Looney Tunes
Jak and Daxter
Command & Conquer: Red Alert (series)
Da Ali G Show
Jackson Brodie
Lewis Barnavelt
Jack Ryan
Lego Batman
Escape Velocity
Past Doctor Adventures
