Burhanuddin Rabbani
Peter Cassetta
Mary and Sigismund
Count of Ballenstedt
Institute for Information Industry
Inc.
TRON project
John Langton
Mary I
King of England
George and Vladislaus II
Robert II of Capua
Microsoft
-1
Digital Equipment Corporation
Xerox
Rudolph II of Upper Burgundy
Berengar I of Italy
Frederick II and Conrad IV
5
Tvrtko II
no nnkllkn
Isabella Jagiellon
MIT
Lambert and Berengar I
Bertha and Odo II
Doug Hitch for the Northwest Territories government
Louis the Blind
TCVN/TC1
Mohammad Ghous
Inc
no
Holy Roman Emperor
Thomas of Bosnia
John Salmon (bishop)
Guy III of Spoleto
Mahdi al-Mashat
Charles VII of France
Arnulf of Carinthia
IBM
Mohammad Rabbani
Pepin II of Aquitaine
Michael Everson
Ferdinand I and Maximilian
Evertype
Peter IV of Aragon
Kermit (protocol)
No
Laura de Chabanais
yes
Canadian Standards Association APL Working Group
Henry III of England
Fung Fung Lee
Michael Davis
Lambert II of Spoleto
no

Dhananjay B.
Viet-Std Group
Count of Toulouse
Henry II of Castile
Henry IV of France
Ratold of Italy
