Blanco Reserva 7
Mk1 , Mk2B
M1898 Carbine
Boddingtons Pub Ale
Olmeca, Olmeca Altos and Olmeca Tezón
numerous
Carbine M1886, M1886-88
Mark 9, 13, and 14
Jask-3
M1931
Strike One Speed
Mythos 0.0%
Kingfisher Red
Military version, Police version
Burn Zero Sugar
Scottish Raspberry
722725
–
G7e Falke
U7144-T:11,104 units
900901902903904
Type 94 tankette
PIAT mount
45.0
M-64
Cappy Selectii
SKC/32in
Kingfisher Ultra
Models 40, 442 and 642
M1944
Fliegerfaust A, Fliegerfaust B
M1941
Rogak , Steyr commercial and military
Mk 57
TAK 120
M1949
Ford Mk VI
Mk 62
W Model 17
At least 5, including a dummy. Variations mainly occur in type of bullet crimping, jacket type and rim thickness.
List of British ordnance terms
1
UE 2, Şeniletă Malaxa Tip UE
10.5
2
3
4
Diet
Heavy Infantry Fighting Vehicle
see Variants
5
10.0
6
7
Sugar Free, Cola, Lime, Mango
8
Mks III, IV, VI, VII, VIIA
9
Rev Energy, Rev Low , Rev Factor
''See [[#Models
P9S, P9 SAO
HM-3, HM-4, HM-3 Short, HM-3 Long, HM-3 Mini
M59 and M59F1
?
Irn-Bru Crimbo Juice
rose gray
With alcohol
United States: 2.9-inch
Bliss-Leavitt Mark 2 torpedo
Parachute
M1918
1000
H
GG-95 PDW
L
M1915
SiSi No Bubbles Strawberry
Dragon
[[#Variants
SC-86 - 8.6×70mm
SITES 'Falcon'  semi-automatic pistol ; SITES 'Ranger' semi-automatic carbine .
Córdova Compacta
EX-31, L95A1
Škoda 10 cm K07
Kortik-M / Kashtan-M
Military Model, Sporting Model
Royal Crown Cola Classic
KMR762
HSc Super
Telecommunications workshop
RC Draft Cola
Mark IIIB
Watermelon
Mark I, Mark II
M1809/31
P365 XL, P365 SAS, P365X,
Blanco, Reposado, Añejo, Organic Margarita Mix, Organic Strawberry Margarita Mix, Organic Bloody Mary Mix, Organic Cocktail-Ready Agave Nectar, Organic Ready-To-Drink Margaritas
SST-3, SST-4
M1926
Mark I, Mark IA
Five-chamber & six-chamber models
M1928
Red
Char mitrailleuse
numerous, see text
Antiquity Blue
Colt Model 1839 Shotgun
Various role-specific variants available in special forces, command/control, reconnaissance and internal security
Bubble Up Soda Water
IA2 7.62 Sniper Rifle
6.5
Patrol
Convertible, Montado, Bisley
Škoda 10 cm K11
standard
Orița M1941, Orița M1948
Tikka M55 Sporter
Mk II Carbine
Solo Lemon & Lime
Type Hiroki sub-caliber training device, 02-45
Cannone da 76/45 CA
Fruit Punch
1020
Steel tires on artillery wheels, Wheels and Tires
LAU-139
XM70, XM70E1, XM70E2
Mark II, Mark III, Mark IV, Mark V, Mark V*, Mark V**, Mark VI, Mark VII, Mark VIII, Mark IX, Mark X, Gun Carrier Mark I
AF-40-8-1 Armoured Personnel Carrier
StuG IV
US-Mk 4
OSA-A, OSA-AK, OSA-AKM, OSA-M
M1892 Carbine
Schmidt M1882
1012
Universal Camouflage Pattern Delta
Red Berry
Mark III*
Early model
* Triple Crown
* Triple Threat
* Triple Threat BLK
Škoda 24 cm L/40 K/01
SA-L mle 1937
WE.177A, WE.177B, WE.177C
Ausf. D, Ausf. A, Ausf. G, Befehlspanzer , Beobachtungspanzer , Bergepanther
Mark I to Mark II
Crosman 1377
W Model 60
SA-L mle 1935
Whitehead Mark 5 torpedo
Hunting variant
M1860/67 Short
Aquashock Spicy Raspberry
M47 Patton
also, 12.7 mm predecessor
M1A1
Vana Tallinn Winter Spice
Wetzlar Carbine
KAB-250
Surface-launched
608
PC 1000 Rs EX
* FN TSR XP
* FN TSR XP USA
Irn-Bru 1901
Vana Tallinn Heritage Edition
Cherry RC
Standard
* Vektor SP1
* Vektor SP2
several carbine variants
PE-4, M112
Vimto Cordial
TKB-011 2M
Pepsi Twist
Saiga-12K-030
Tikka M55 Deluxe
No. 3 , No. 18
Canon de 320 modèle 1917 à berceau
Hardtop
SR-22
RP-46
See ''[[#Models
All variants in Black or Hard Chrome finish. Charging Rhino version only in Black.
Red Bull Zero
Marks I–V
Kamaz-63969
Possible changdao, miaodao, wodao, zanbatō
AN/PVS-5, AN/PVS-5A, AN/PVS-5B, AN/PVS-5C
FORCE CARRY
L3/33, L3/38, L3 cc, L3 Lf,
Tikka LSA65 Sporter
leFH 16 n.A
Cherry 7 Up Zero Sugar
-THAAD Missile Transporter erector launcher.
Bliss-Leavitt Mark 8 torpedo
M1977A0 Common Bridge Transporter .
Modèle 28
W. L. Weller Antique
M 16 and M 17
A:, B:, C:,
M/1923/29
Percussion cap
M/1923/26
Apple
W Model 36
Tor, Tor-M1, Tor-M2, Tor-M1-2U
Retro Big Red
625
Surge, Urge Uten Sukker
Burn Original
7.8894E8
Mark 44 Mod 1
Caffeine-Free Diet Coke
Big Honey Lemonade
M/1923/24
MV-9, VM-17
Premium, Green Apple, Orange, Lemon
Mark III
Murree's Classic Lager
*Rudram-1
Cooey Model 84 & 840, Winchester Model 370 & 37A
Bright reddish-brown to dark shades probably influenced by sooty or seal brown, points may be restricted in 'wild bay' pattern
MLM Mk II
SPYDER-MR
Type 22 carbine
High explosive fragmentation
Apricot
IZh-46, IZh-46M
AN/PVS-17C
DSR-50 Sniper Rifle
K10 ARV
Crosman 1322
L-60 S
Tikka M65 Fullstock
K, L
SiSi Fruit Limo Orange
M6 Flatbed truck, M6 radiotruck, M8 Flatbed
Long Island Iced Tea
CADPAT Arid Regions
Vektor CP1 / Vektor CP1N
Tactical, Midsize, Compact
LE901-16S
see article
Logistics, Combat, ISR, EOD
M2, M2A1
Coca-Cola Citra
Snatch-1.5
Mark II*
McDowell's No.1 Caribbean
Ra'ad-1
Manurhin MR 88, Manurhin MR 93, Manurhin MR 96, Manurhin F1, Gendarmerie, Sport, Match
Mark I and Mark II
C8A1, C8A2, C8 SFW, C8FTHB, C8A3, C8 CQB, C8 IUR
0.257
GAU-12 Equalizer
Titanium Edition Commander
Bubble Up Lemon-Lime
Short version, Long version
Fruity Mix
BMP-1, BMP-2, MLI-84, Boragh; see also BMP-1 variants.
Standard Issue
Snatch-2A 24v, RHD
Füsiliergewehr M/60
FORCE
The Landsverk L-62 Anti II is a specific variant of the Landsverk Anti I.
Air Ranger, Air Ranger Extreme
