Kate Black Elk
Madeleine Le Clerc de Juigné
Maria Clavone
Rukiye Havva Hanım
Anne Therese of Savoy
Mardula'anki
Jeanne of Angoulême
Mabel Edith Owen
Lady Cao
St. Meinrad Archabbey
Alexandra Brushtein
Martha Stewart (Home and Away)
Mimi Baxter
Duatnofret
Sheila Dikshit
Princess Amalie Auguste of Wrede
Jacquette De Geer
Thérèse-Lucy de Dillon
List of General Hospital characters
Mary Yull
Jeanne Henriette de Durfort
Marie Jeanne de Kerret de Quillien
Catherine Micaela of Spain
Guilla of Provence
daughter of William I de Cantilupe
Phyllis Hermione Drury
Tieng Rojanadis
Mary Ann
Queen Mundeok
Nouf bint Abdullah bin Abdul Rahman Al Saud
Malek-ye Hajji
Princess Helena of Schleswig-Holstein-Sonderburg-Glücksburg
Marion Moore
Cluny
Nina S. Gore
Kasuga no Ōiratsume
Anne Szécsi
?
Margery Sedgwick
Gytha Thorkelsdóttir
Gertrude Spears
Vera Setta
Isabel Fraunceys
Empress Dowager Xiao (Tang dynasty)
Ethel Sommerville Letten
Helen of Brandenburg
Ajjhitabhattarika
Constance Greene
Elizabeth Willoughby of Eresby
Innogen
Dorothea Jordan
Xiao Tong Shu Zi
Celeste Aida Zanchi
Louise of Nassau-Ottweiler
Carmen Santander Bozo
Gezina Mantel
Annapurnamma
Elizabeth  Worthington
Seble Wongel
Supriya Renu Shikhari
List of Home and Away characters (1990)
Laodice VII Thea
Navinesha Khatun
Sarah Ferguson
a
Shakuntla Yadav
Sushila Devi
Philadelphia Austen Hancock
e
Sara bint Ahmed Al Sudairi
Chauhani Kanwar
Thi Lan Nguyen
Sofie of Mecklenburg-Schwerin
Mary Ann Deacon
Trịnh Thị Ngọc Trang
Han Qiji
Khurshidbanu Natavan
Alice Harnoncourt
Ramkali Devi
Sheng Meng Zi
Mary Donaldson
Ravadifo
Isabella Vitelli, Marchioness dell'Amatrice
Ofelia Acevedo de Payá
Ellen O'Leary
Elka
Margaret of Sicily
María del Carmen Delgado y Fernández de Santaella
Mrs Tinker
Stephanie Forrester (The Bold and the Beautiful)
Silvia Argoli
Katy Lewis
Tam Mei-kam
Sunaina Kumari
Amrita Kapur
Infanta Maria Luisa of Spain
Kamalakshi Amma
Maria of Yugoslavia
Marie de Luxembourg
Oreguen
Ana de Mendonça
Anushvram Artsruni
Richeza of Denmark
Princess Hermine of Waldeck and Pyrmont
Ambavati
Adele Pratt
Chen Daozheng
Soe Min Wimala Dewi
Lucrezia Barberini
Françoise Agnès Ammoric
Hetty Green
Kujō Ninshi
Empress Yuan
Princess Alexandra of Saxe-Coburg and Gotha
Ana Jakšić
Lady Hong of the Namyang Hong clan
Royal Consort Changbin An
Alexandra Manley
Churamoni
Marquesa Cardozo
Princess Minabe
Anne Cecil
Vashti Turley Murphy
Timbora of Roccaberti
Sirikit
Zhang Changpu
Dedisimedi
Louise Faviot
Mary E. Stafford
Minnie Lee
Rahim Bakhsh Bai
Padmavati Dua
Elizabeth Jarvis Colt
Mankunwar
Countess Sophia Margaret of Oettingen-Oettingen
Marie-Louise NORMAND
Louise Gautier
[[#Rana Hussain
Marisha
Fujiwara no Nakako
Jenny von Westphalen
Princess Augusta Wilhelmine of Hesse-Darmstadt
Countess of Ponthieu
Mayilathal
Julia Keay
Charlotte of Mecklenburg-Strelitz
Anna Macchia
Gabby Sharpe
Charlotte Amalie of Hesse-Kassel
Countess Palatine of Neumarkt
Hélène Chaumont
Mary Arundell (courtier)
Victoria (Roman usurper)
Tessie Aquino-Oreta
Lizzie Dyer
Gisela of Burgundy
Eleanor of Castile (d. 1416)
Analea Keohokālole
Mathilda of Arneburg
Lucrezia Tornabuoni
Princess Elisabeth of Saxe-Altenburg (1826–1896)
Dorothy Berger
Malley
Khin Win May
Paolina Sartre
Bhuri Devi.
Umm Asim bint Asim ibn Umar ibn al-Khattab
Barbara Tarło
Jane S. Caplan
Veronica Salt
Piyamavadi
Josephine Beall Willson Bruce
Jane Wallace
Thomanija Bogičević
Teresa Cajal
Aigle
Barbro Holmberg
Cindy Beale
Countess of Kent
Beth Raines
Bibbe Hansen
Kerala princess of Paluvettaraiyar family
Hajiya Hauwa Gumel
Cynthia Ann Tutundgy Hilal
Franziska Louise Eleonore Stephanie
Margaret Thorley
Princess Durru Shehvar
Princess Maria Teresa of Bourbon-Two Sicilies
Mabel Pryde
Campagnola Lando
Anne Robinson
Marie Henriette of Austria
Agnes of Bentheim-Steinfurt
Sumitra
Lucy Ann Russell
Internal Princess Consort Pyeongsan of the Pyeongsan Shin clan
Luisa Tuki
Ulla Jones
Gail Platt
Madam Wang
Princess Marie of the Netherlands
Agathe de Preuilly
Catherine Desnitski
Gerberga of Burgundy
Henrietta Maria of France
Turhan Sultan
Mu Meng Ji
Bhadravati Devi,
Lady Zhang
Christine Jones (Home and Away)
Helena Lekapene
Countess Elisabeth von Lodron
Beautiful Lady Yu (Han dynasty)
Minnie Bierley
Maria Leszczyńska
Eleonore Lucia von Ilten
A Gaul
Joan of Lancaster
Gina Von Amberg
Henriette Rénard
Juliana de Vere
Flor Silvestre
Diane Sandé-Wood
Mimaki-hime
Rosie Miller
Robin Helen Brockhoff
Kiran Bala Pandey - Academician, Former Regional Director NIOS and Deputy Director of Education UP Govt.
Duchess Marie Therese of Württemberg
Đỗ Thụy Châu
Duchess of Buckingham
Susannah Durlacher, née Levi
Olga Constantinescu
Elisabeth of Valois
Maharani Pending
Maria Mężyńska
Unnamed mother
Johanna Magdalena of Saxe-Altenburg
Santana Andrade
Qi Xin
Berta de Sousa
Wilhelmine Friederike
Alison Palmer
Edie Smith
Countess Marie Gabrielle Andrássy von Szik-Szent-Kiraly
Lady Xu
Minamoto no Chikako
María de la Concepción de Guzmán y de la Cerda
Editha Marwitz von Stephani
Devorah Leah
Daughter of Manuel I of Trebizond
Begum Anwara Chowdhury
Countess of Stolberg-Gedern
Xiao Noujin
Hauwa bnt Muhammad
Matilde Calderón y González
[[#Barbara Stewart
Sheila Kerrigan
Licinia Tertia
Graça Machel
Julia Pou
Lady Yu
Brigitte Klynstra
Gertrude of Austria
Amy
Shah Sultan Begum
Nancy Reuben
Maria Petraliphaina
Syarifah Rahmah
Anna Debreczenyi
Marianna Mierzeńska
Ana
Şayeste Hanım
Lady Ye
Anna Sibille of Schwarzburg-Rudolstadt
Lady Mozang
Maria of Tver
Virginia Fox
Empress Xianren
Countess Maximiliana Christiane von Sponeck
Imperial Concubine Yang
Urraca Fróilaz
Lālamati Devi
Abeer bint Faisal bin Abdulrahman Al Sudairi
Asuncion P. Loreto
Baroness Johanne Sophie Frederikke von Bothmer
Dorothy Wendzinski
Margery Dillon of Kilmore
Princess Icpacxochitl
Theda of Rheide
Chain Kanwar
Alexandrine de Bleschamp
Adelaide of Burgundy (1233–1273)
Ikagashikome
Anna, Princess Lubomirska
Princess Adelheid of Schaumburg-Lippe
Mayavati
Princess Augusta of Saxe-Gotha
Prafulla Nalini Nandy
Mary Robertson Bradbury
Joymoti Konwari
Chichimecacihuatzin II
Dilber Khanum
Priscilla Mazurek
Mathilde von Arneburg
Elena of Gallura
Leela Varghese
Kushige Yoshiko
