A0CCFF
FFD300
Islamic Republic of Iran
E80909
Republic of Namibia
BB0000
cc0000
Second World War
11
FDE910
Warsaw
ff6633
900020
Torbay
FFDD00
the Republic of Tajikistan
0
1
2
244
3
National Congress of Brazil
4
FC9DCE
5
6
7
List of National Historic Sites of Canada
8
9
17715.0
FF7000
20
A
DEB887
6495
ff6600
Battle Monuments Commission
H
Westminster City Council
FFCC00
EB0527
fcd02f
S
80815.0
ffff00
Republic of Chad
CE2029
33
E20E0E
DDDDDD
United States Air Force
Turkish Republic of Northern Cyprus
9223372036854775807
334455
F287B7
the
Stoke-on-Trent
the Republic of Panama
blue
f5b32b
3300
the Senate of Pakistan
the Republic of Serbia
3666
CC0000
Australia
40
41
CA0014
ED1C24
44
995522
f4f000
17243
FF9900
Republic of Ecuador
B5F268
Tower Hamlets
FDBC02
Republic of El Salvador
e25593
Bristol
8449
50
Republic of Seychelles
Republic of the Congo
54
55
646464
57
Commonwealth War Graves Commission
FF8800
FF5413
1030
21637
Parliament of Barbados
800000
00387C
AA0000
2234
State
FFC926
1144
German War Graves Commission
12244
141414
60
Commission for the UNMCK
62
151570
66
American Battle Monuments Commission
41690
the Dominican Republic
ff4500
90148
330066
Hartlepool
440085
Watford
6600
72
FF0080
76
Bates College
''
77
8000
c2002e
Philippines
Calamba, Laguna
@en
EEEE00
DAA521
F6ADC6
FFFF00
ED0A3F
DB1D27
Democratic Republic of São Tomé and Príncipe
622
80
ffcc00
North Tyneside
78184.0
Montenegro
86
87
88
ff0000
91930
Republic of Guatemala
C2DCF5
D42985
National Security Agency
604800.0
Veterans Affairs Canada
F7FE2E
the Metropolitan Borough of Doncaster
99
7851
FF8F00
Office National des Anciens Combattants et Victimes de guerre
Hackney
FFFFFF
FED225
FED102
Canada
cae9e4
Salford
Government of India
F5D618
404
FFFFF
Republic of Paraguay
101010
bb141a
D2691E
Lewisham
Middlesbrough
Human Rights Council
DD0000
1757
62003.0
FFBF00
United Kingdom
696969
78174
D81327
Kuzey Kıbrıs Türk Cumhuriyeti Cumhurbaşkanı
3388
C3F345
FFF535
F6232A
Osmanabad Municipal Council Osmanabad
162745
Plurinational State of Bolivia
FFCD00
Saeima
D43232
Republic of Benin
433
Republic of Niger
3399
318
ffffff
f1ef00
EC1370
United States National Cemetery
for the German War Graves Commission
FF0000
FDDA00
the City of Dasmariňas
Albury
BF172F
FFDF00
cccccc
Republic of Nicaragua
AFDBF5
the Federative Republic of Brazil
800080
FBEC5D
A50021
5000
CB2C71
United States of America
National Council of Turkmenistan
D6B06A
FBE83C
Oorlogsgravenstichting
Politics of Azerbaijan
Pakistan
335
E4CC00
Serbia and Montenegro
FF6100
40233.0
ED9121
Republic of Cape Verde
Parliament of Australia
Gabonese Republic
the Bolivarian Republic of Venezuela
EAEBED
FF6B00
DE0000
B2B2B2
100
0.0
Newham
the Islamic Republic of Afghanistan
228
A3052D
Bedford
6699
8.0
191970
AA1F2E
