FJD
MXN
SCR
CDF
BBD
GTQ
CLP
HNL
UGX
ZAR
TND
STN
SLL
EUR SEK DKK
SDG
ZRN
VBF
IQD
CUP
GMD
TWD
RSD
DOP
KMF
MYR
FKP
XOF
GEL
UYU
SUR
MAD
CVE
TOP
AZN
PGK
OMR
KES
SEK
UAH
GNF
MZN
ERN
ARS
QAR
Yuan
IRR
CNY
UZS
XPF
THB
MRU
BDT
LYD
BMD
PHP
RUB
PYG
JMD
ISK
COP
USD
MKD
DZD
SGD
ETB
VED
SOS
VUV
VEF
KGS
LAK
BND
XAF
CNY/RMB
HRK
CHF
PRB
ALL
DJF
ZMW
TZS
VND
AUD
ILS
GHS
KPW
GYD
KHR
BOB
MDL
IDR
KYD
AMD
BWP
SHP
TRY
LBP
TJS
JOD
HKD
AED
RWF
EUR
DKK
CAD
BGN
MMK
EUZ
MUR
SYP
NOK
GIP
RON
LKR
NGN
CRC
CZK
PKR
XCD
ANG
HTG
BHD
KZT
SRD
SAR
TTD
YER
AFN
INR
AWG
KRW
NPR
MNT
AOA
PLN
GBP
SBD
BYN
HUF
BIF
PLZ
MWK
MGA
BZD
MGF
DEM
BAM
EGP
MOP
SSP
NIO
PEN
NZD
WST
TMT
BRL
