South America
les Écouvissois
Varangværing
Juilléen, Juilléenne
Vignogilois
Moaaga
Marçonnais, Marçonnaise
Sourdevalais
Alixois
Ocriniens
Larviker
West-Cappelois
Buaværing
Abrestois, Abrestoises
,
Fleurions
Boknar
Croats
Wemaers-Cappelois
Quatre-Routois, Quatre-Routoise
Mossing
Capellois
Titteri
Trianiens
Engelberger
Etrichéen, Etrichéenne
;
Demographics of Brunei
Amanciens
Ørskogbygdar
Prayssacois
Neuf-Berquinois
Trænværing
Les Sèche-brebis
Ziliais, Ziliaises
Ablainzevellois, Ablainzevelloises
Abainvillois, Abainvilloises
Ingrian
Novellands
Umurundi
Fanabu
Marollais, Marollaise
Transcaucasian
Ringbygging
Audonien, Audonienne
Saint-Jammois, Saint-Jammoise
Syvding
Forsandbu
Herzegovinians
Corfiot
Domjevinois , Domjevinoise
Tufféen, Tufféenne
Praticorbiniens
Slavonian
Tasmanian
Tortolian
Les Cullatis
Caledonian
Caulonists
Ottoman Greeks
Bonnétablien, Bonnétablienne
Paraguayan
Koreans
Caymanian
Ariqueño
Merlinois / Merlinoises
Sargéen, Sargéenne
Natalian
Juvignais
Surmani
Flåbygg
Les Coucous
Philippine Islander
Mosbygg
Nonantais
Rexpoëdois
Vingersokning
Abrienais, Abrienaises
Nesployois
Barthélemois
Lè Cotéru
Lignévillois, Lignévilloises
Courgannais, Courgannaise
Gāndhārī
Tanuais
Charsonvillois
Chavagnais, Chavagnaise
Swedish people
Varennois
Luchois, Luchoise
Demographics of Iceland
Ecuadorians
Solutréen, Solutréenne
Netherlands Antillean
Risøring
Mégevans
Clermontois, Clermontoise
Mancelle
Teutons
Mongolian
Les Chardonnerets
Demographics of Sudan
Westarctican
Surfondais, Surfondaise
Messimois
Saint-Jeoiriens
Zegerscappelois, Zegerscappeloises
Belizeans
Toulonnais
Latin American
Grusokning
Soleirébourgien, Soléirébourgienne
Kvindøl
Anglo-Saxon, Angle, Saxon
Capelloremyen, Capelloremyenne
Abreschvillois, Abreschvilloises
Bouëriens, Bouërienne
Transylvanian
Corsiérans
Kolonjar/e
Yakut
Hondurans
Crosmièrois, Crosmièroise
Leinstranding
Querquevillais
Aarburger
Violaysien
Tordérencs
Vanziens
Arabs
Chênehuttois, Chênehuttoise
Malagueño, Malacitano
Øverbygding
Roncyais
Changéen, Changéenne
Cantenaysien, Cantenaysienne
Tongan
Quechots, Quechottes
Stjørdaling
Volnaysien, Volnaysienne
Silesian
Moldovans
Disséen, Disséenne
Somali
Hadhramite
Falkland Islander, Falklander
Soulvachaises, Soulvachais
Åfjording
Solomon Islander
Pépéen, Pépéenne
Tignéen, Tignéenne
Tristanian
Mecklenburger
Plessis-Macéen, Plessis-Macéenne
Les Hirondelles
North American
Rouillonnais, Rouillonnaise
Dano-Norwegian
Latin Americans
Heugonais
Asgardian
South American
Larvikar
Sulalending
Bynesing
Fetsokning
Enebakking
Gravarots
North Caucasian
Les Grands-Pantets
Abergementiers, Abergementières
Eidsvolling
Mangaian
Montreuillais
Ebblinghemois
Parignéen, Parignéenne
Les Tachis
Prépotinois
Biafran
Krutan/e
Montrognons
Fosséen, Fosséenne
Freiøying
Horndøl
Opplending
Vinbyggje
Coolat
People of the Dominican Republic
Chéméréennes, Cheméréens
Clarificiens
Haucourt-Moulainois
Capraisiens, Capraisiennes
Slovenes
Greeks
Bhutanese
Bømling
Yzeronnais, Yzeronnaises
Reunian
Northern Territorian, Territorian
Les Bavoisans
Altdorfer
Nāyika
Montignarmançonnais
Savignolans
Morbecquois
Slovaks
Montaiguais
Motswana
Bonimontains
Lødingsværing
Touétois
Icelandic
Suzerain, Suzeraine
Bosnians
Anetziennes, Anetziens
Evaillléen, Evailléenne
Andonnais-Thorencois
Øyværing
Fløværing
Swedes
Mirbellois, Mirbelloises
Morannais, Morannaise
Iberian
Turkmenistani
Engenvillois
Laurentins
Kooki
Saint-Joriens / Saint-Joriennes
Åsnessokning
Shanghailander
Peréen, Peréenne
Vouvraysien, Vouvraysienne
Marcelin, Marceline
Ablainois, Ablainoises
Vancéen, Vancéenne
Drangedøl
Stokksunding
Pierrevillois, Pierrevilloise
Hortensar
South Georgian
Håbu
Bajan
Sautronnaise, Sautronnais
Volkstaater
West Indian
Brazilians
Rousselinois, Rousselinoise
Turkish Cypriot
Rørosing
Meråkerbygg
Demographics of Croatia
Lyngsfjerding
Vangsgjelding
Majorcan
Uzbeks
Guinean
Pierre-Bénitains
Montreuillais, Montreuillaise
Louvinois, Louvinoise
Flêtrois
Algerian or Algerine
Zozais, Zozaises
Fremis, Fremises
Grisellois
Sarceyots, Sarceyottes
Carbaisien, Carbaisienne
Gozitans
Kazakhstani
Tromsværing
Viulan
Lè Verra
Quierois
Treilliéraines, Treilliérains
Rizaucourtois, Rizaucourtoises
Tuilliens / Tuilliennes
Austenasian
Lè z'Etserpenâ
Kongsbergensar
Lè Grante-Coraille
Les Pratoux
Bazougeois, Bazougeoise
Bahamians
Peqins/e
Serbians
Lesjing
Transéennes, Transéens
Chaumontais, Chaumontaise
valenciano, -na
Greek people
Hortenser
Maulévrais, Maulévraise
Aixois, Aquisextain, Aquisestain
Ypsilonien
Ballonnais, Ballonnaise
Vardøværing
Vonnassiens, Vonnassiennes
Frognsokning
Berrois
Émondevillais
Orklending
Pradellois
Colognotes
Western/West Australian
Tiercéen, Tiercéenne
Bailleulois, Bailleuloise
Madounencs
Filipina
Príncipean or Principean
Rigomérois, Rigoméroise
Noyennais, Noyennaise
Nuaillais, Nuaillaise
Passavantais, Passavantaise
Furnesing
Chevillois
Eidfjøre
Nicaraguans
Tokkebu
Emiratis
Nepali
Crémolans
Drinchamois
Bluffétien / Bluffétienne
Çerkes
Chevryais
Rwenzururian
Porte
Senovillais
Nøttlending
Nordaurdøl
Les Groseilles
Gervaisien, Gervaisienne
Şîkakî
Ruanais
Courtemaliens
Pincéen, Pincéenne
Les Escotaliens
Folldøl
Lundhering
Ableigeois, Ableigeoises
Omani
Uvdøl
Saxon
Louaillain, Louaillaine
Pascuense
Malti,  Maltese
Audressellois
Les renards
Mongol
Neuchâtelois
Selvær
Genoese
Afro-Eurasian, Eurafrasian
Landigulfiens
Tajikistani
Qarmatian
Gorcéens
Guislenais
Lignairollois, Lignairolloises
Ethiopian
Breulotiers
Door Countyite
Narbonnese
Miꞌkmaq
Prince Georgian
Lamancinois, Lamancinoises
Les Couennati
Coulanais, Coulanaise
Vivoinais, Vivoinaise
Demographics of Cameroon
Flakstadfjerding
Hollasokning or
Leirfjording
Demographics of Libya
Aurlending
Zimmersheimois, Zimmersheimoises
Cravantais
Triestine
Taquileño
Heidøl
Les Croque-lendines
Champoulois
Southern Africa
pampango -a kapampángan
Nesodding
Les Arnésiens
Légatiens
Hurdøling
Sellois
Sundsokning
Champagnacois
Randabergsbu
Peltrois
Briataux
Chesnaycourtoise
Svelviking
Juignéen, Juignéenne
Holeværing
Zaqistani
Sapiens
Lomvær
Berkshirite
Arab
Lè Lemaçon
Cheviréen, Cheviréenne
Vicquois
Sumbawan
Kvalsundværing
Roussayais, Roussayaise
Storfjording
Lamothois, Lamothoises
Sulu-anon
Saudis
Senneliaciens
Serbs
Aescher
Demographics of Western Sahara
Ecuilléen
Trini
Guignevillois
Fontainois
Beta Israel
Nordfoldværing
Les Saubrians
Skånlending
Bulgarian Millet
Chapériens
Les Caque à part
Néalphins
Patkumia
Messassiens
Riaucourtois, Riaucourtoises
Lupfensche
Sint Maartener
Iraqi
Nocéens
Skjoldabu
Saint-Martinois
Saint-Peter-Vallois
Rânais
Montpolinéun, Montpolinéune
Papal
Pagig
Les Grandvaliens
Halsabygg
Les Tire-Troncs
Båtsfjording
Morcles:Morclans
Tjømling
Serrean
Présilliens / Présilliennes
Souvignéen, Souvignéenne
Ludois, Ludoise
Sveibu
Vidouvillais
Singsåsbygg
meldaling, meddaling,
